hole1,hole2,max,min,mean,25%,50%,75%,var,stat
CA,C2,154,14,59.799999999999997,30.0,53.0,81.0,1736.3599999999999,41.66965322629887
CA,C3,154,14,64.0,23.25,73.0,77.5,1712.5999999999999,41.383571619665695
CA,C4,79,14,29.5,18.0,18.0,39.5,377.85000000000002,19.438364128701778
CA,C5,187,14,61.0,33.0,53.5,72.25,2284.4000000000001,47.795397267937844
CA,C6,154,14,84.900000000000006,20.0,82.5,154.0,3806.8899999999994,61.699999999999996
CA,C7,154,14,39.600000000000001,14.0,21.0,35.0,1762.6400000000001,41.983806401992666
CA,C8,154,14,40.399999999999999,14.0,22.0,36.0,1782.2399999999998,42.21658441892238
CA,C9,191,23,68.799999999999997,37.0,55.0,74.75,2454.7599999999998,49.545534612112114
CA,CT,192,14,98.200000000000003,28.5,98.0,154.0,5293.96,72.759604177043187
CA,CJ,193,14,64.599999999999994,39.75,42.0,81.0,2544.8400000000001,50.446407206063746
CA,CQ,79,14,40.899999999999999,26.0,41.0,42.0,381.29000000000002,19.526648457940755
CA,CK,122,14,55.799999999999997,27.0,42.0,81.25,1192.76,34.536357653927546
CA,DA,188,14,81.5,42.0,60.5,94.25,3313.25,57.560837380983259
CA,D2,71,14,30.699999999999999,14.0,15.0,42.0,473.60999999999984,21.762582567333315
CA,D3,73,14,42.100000000000001,14.0,36.5,73.0,710.08999999999992,26.647513955339246
CA,D4,98,14,46.0,18.0,37.0,74.0,900.0,30.0
CA,D5,114,14,32.899999999999999,14.0,19.0,29.5,988.88999999999976,31.44662144014838
CA,D6,80,14,39.799999999999997,20.0,34.0,59.25,567.75999999999999,23.827714955488283
CA,D7,122,14,57.899999999999999,35.0,58.5,78.25,1025.2899999999997,32.020149905957652
CA,D8,183,14,57.100000000000001,22.0,42.0,79.5,2560.4900000000002,50.601284568674735
CA,D9,98,14,36.700000000000003,16.25,23.0,40.75,768.41000000000008,27.720209234419571
CA,DT,122,14,56.799999999999997,38.0,40.0,78.5,1096.9599999999998,33.120386471175117
CA,DJ,98,14,43.5,16.75,33.5,70.5,900.85000000000002,30.014163323337868
CA,DQ,82,14,50.200000000000003,40.5,42.0,71.5,455.56000000000006,21.343851573696817
CA,DK,98,14,47.600000000000001,14.0,41.5,79.5,1022.0400000000002,31.969360331417334
CA,HA,98,14,63.0,42.0,76.0,80.0,617.20000000000005,24.843510218968657
CA,H2,72,14,35.200000000000003,14.0,23.0,58.5,577.75999999999999,24.036638700117784
CA,H3,81,14,43.600000000000001,17.0,36.5,72.25,740.44000000000005,27.211027176495929
CA,H4,80,14,37.200000000000003,18.0,18.0,64.5,680.16000000000008,26.079877300324863
CA,H5,190,14,59.600000000000001,14.0,19.0,72.75,4570.6400000000003,67.606508562415797
CA,H6,188,14,72.200000000000003,15.5,68.0,75.75,3909.5599999999999,62.526474392852187
CA,H7,119,14,51.700000000000003,35.0,38.5,74.5,992.21000000000004,31.499365072966153
CA,H8,98,14,35.299999999999997,14.0,29.0,36.0,706.00999999999999,26.570848687988871
CA,H9,118,14,50.100000000000001,27.75,42.0,67.5,915.09000000000015,30.250454542039531
CA,HT,122,14,40.0,14.0,31.0,41.0,1129.5999999999999,33.609522460160008
CA,HJ,193,14,64.799999999999997,16.75,40.5,68.25,4279.3599999999997,65.416817409592767
CA,HQ,98,26,56.5,40.5,42.0,78.5,534.04999999999995,23.109521847065551
CA,HK,75,14,38.100000000000001,27.0,34.0,42.0,408.08999999999997,20.201237585851022
CA,SA,210,42,99.700000000000003,74.0,81.5,94.0,3319.8099999999999,57.617792390892589
CA,S2,77,14,28.199999999999999,14.0,16.0,26.5,546.96000000000004,23.387175973169569
CA,S3,75,14,37.299999999999997,20.5,31.0,42.0,422.60999999999996,20.557480390359125
CA,S4,186,32,71.900000000000006,47.75,67.5,69.75,1745.8900000000001,41.783848554196155
CA,S5,79,14,39.600000000000001,19.0,33.0,63.75,584.03999999999996,24.166919538906896
CA,S6,188,14,53.799999999999997,15.5,38.0,64.5,2685.96,51.826248175996689
CA,S7,91,14,42.100000000000001,14.0,28.0,71.25,888.08999999999992,29.80083891436615
CA,S8,190,14,73.299999999999997,27.0,71.5,96.5,2725.21,52.203543941000788
CA,S9,98,14,50.0,23.0,52.5,72.5,865.79999999999995,29.424479604574149
CA,ST,192,14,57.200000000000003,16.5,42.0,76.0,2649.5600000000004,51.473876869728791
CA,SJ,79,14,34.600000000000001,16.75,25.0,39.0,495.83999999999997,22.267465055546847
CA,SQ,186,14,70.799999999999997,21.0,76.0,82.0,2672.3599999999997,51.694874020544816
CA,SK,79,14,31.699999999999999,14.0,20.5,37.5,564.00999999999999,23.748894711122873
C2,C3,114,3,40.299999999999997,30.0,30.0,53.25,991.00999999999999,31.480311307228206
C2,C4,154,4,51.600000000000001,12.0,30.0,62.75,2962.0400000000004,54.424626778692755
C2,C5,89,5,39.5,30.0,33.0,55.5,661.25,25.714781741247581
C2,C6,183,6,53.200000000000003,8.0,32.0,60.25,3707.5599999999999,60.889736409348991
C2,C7,154,7,44.0,7.5,35.0,57.5,1988.0,44.58699361921591
C2,C8,174,8,67.400000000000006,10.0,45.5,130.0,4060.6400000000003,63.723151208960154
C2,C9,119,9,41.700000000000003,15.75,33.5,59.5,1070.6100000000001,32.720177261133536
C2,CT,191,10,67.400000000000006,16.5,30.0,120.75,5019.8400000000001,70.850829211802449
C2,CJ,86,11,30.800000000000001,11.5,13.0,39.0,700.56000000000017,26.468094000135338
C2,CQ,152,12,55.899999999999999,14.0,50.0,70.75,2127.29,46.12255413569374
C2,CK,71,13,32.100000000000001,15.0,35.5,41.0,314.88999999999999,17.745140179778801
C2,DA,76,14,42.0,21.0,42.0,60.75,475.80000000000001,21.812840255225819
C2,D2,198,30,83.099999999999994,39.0,67.5,82.5,3275.29,57.230149396974319
C2,D3,114,3,54.5,30.0,61.0,81.5,1215.8499999999999,34.869040709488985
C2,D4,114,4,43.600000000000001,10.5,31.0,66.5,1307.0400000000002,36.153008173594628
C2,D5,183,5,49.700000000000003,7.0,33.0,69.75,2818.8100000000004,53.092466508912544
C2,D6,114,6,40.700000000000003,8.0,32.0,64.75,1219.21,34.917187744719648
C2,D7,91,7,44.100000000000001,30.0,30.0,65.0,837.68999999999994,28.942874770830901
C2,D8,70,8,39.899999999999999,15.0,36.0,66.0,617.28999999999996,24.845321491178172
C2,D9,189,9,48.299999999999997,11.0,30.0,37.0,3173.4099999999999,56.333027612582654
C2,DT,119,10,48.100000000000001,30.0,38.0,66.25,992.69000000000017,31.506983352901308
C2,DJ,81,11,37.200000000000003,11.5,34.5,59.25,659.36000000000001,25.678006153126454
C2,DQ,79,12,39.399999999999999,14.0,27.0,69.25,776.6400000000001,27.868261517360569
C2,DK,183,15,52.100000000000001,15.0,22.5,74.25,2657.4899999999998,51.550848683605587
C2,HA,72,14,30.899999999999999,14.0,16.0,42.0,468.49000000000007,21.644629818964336
C2,H2,198,2,71.200000000000003,30.0,46.0,81.5,3895.3599999999997,62.412819196059388
C2,H3,181,3,54.299999999999997,10.0,61.0,65.5,2510.0099999999998,50.099999999999994
C2,H4,88,4,27.100000000000001,4.0,18.0,32.0,793.68999999999994,28.172504326026822
C2,H5,187,5,32.100000000000001,5.0,7.0,24.25,2978.0900000000001,54.571879205319661
C2,H6,114,6,37.0,6.5,8.0,71.5,1495.4000000000001,38.670402118416099
C2,H7,91,7,31.399999999999999,14.25,32.5,35.0,530.04000000000008,23.022597594537416
C2,H8,92,8,34.5,8.0,10.0,65.25,1052.6500000000001,32.444568112397491
C2,H9,182,9,57.600000000000001,11.0,45.5,71.75,2916.0400000000004,54.000370369100253
C2,HT,94,10,25.399999999999999,12.0,12.0,12.0,807.24000000000001,28.41196930872621
C2,HJ,122,13,44.799999999999997,13.0,26.0,57.0,1706.9599999999998,41.315372441743762
C2,HQ,40,12,18.600000000000001,12.0,12.0,26.0,100.03999999999999,10.001999800039989
C2,HK,114,13,47.100000000000001,18.75,35.5,64.25,1037.6900000000001,32.213196053791371
C2,SA,174,14,72.0,14.5,64.0,103.5,3593.0,59.941638282582836
C2,S2,198,2,59.100000000000001,30.0,30.0,81.75,2833.2900000000004,53.228657694892142
C2,S3,72,3,30.300000000000001,9.75,30.0,31.0,555.21000000000015,23.562894559030735
C2,S4,67,4,32.5,10.5,30.0,54.5,538.64999999999998,23.208834524809728
C2,S5,89,5,38.899999999999999,11.25,31.5,63.0,956.68999999999994,30.930405752269078
C2,S6,86,6,33.200000000000003,8.0,30.0,55.5,746.56000000000006,27.323250172700906
C2,S7,75,7,34.399999999999999,7.5,19.5,65.75,834.24000000000001,28.883213117657114
C2,S8,92,8,28.100000000000001,8.0,10.0,30.0,875.29000000000019,29.585300404085814
C2,S9,78,9,31.0,11.0,11.0,58.75,733.39999999999998,27.081358902388928
C2,ST,175,10,49.600000000000001,12.0,38.0,67.25,2287.2400000000007,47.825098013490788
C2,SJ,95,11,41.200000000000003,17.25,34.5,61.5,744.16000000000008,27.279296178604024
C2,SQ,191,14,70.799999999999997,32.5,40.0,71.0,3644.7599999999998,60.371847743795286
C2,SK,97,15,55.200000000000003,41.0,56.0,71.0,570.55999999999995,23.886397802933786
C3,C4,154,4,54.700000000000003,13.25,62.0,69.0,1934.4099999999999,43.981928106894081
C3,C5,116,5,44.100000000000001,13.75,32.0,70.0,1178.0900000000001,34.323315690649707
C3,C6,177,6,37.399999999999999,6.0,9.0,33.25,2786.4400000000001,52.786740759399038
C3,C7,71,7,28.100000000000001,7.75,20.5,35.0,552.68999999999994,23.509359838158076
C3,C8,179,8,50.899999999999999,8.75,21.0,59.25,3581.29,59.843880221790428
C3,C9,87,9,45.700000000000003,32.5,37.0,69.5,662.21000000000004,25.733441277839233
C3,CT,189,10,45.200000000000003,17.5,31.0,38.0,2515.1600000000003,50.15137086860139
